date,negative,positive
2017-06-06,20,38
2017-06-07,45,76
2017-06-08,37,68
2017-06-09,28,86
2017-06-12,54,91
2017-06-13,37,55
2017-06-14,16,50
2017-06-15,56,121
2017-06-16,53,66
2017-06-17,26,44
2017-06-19,33,75
2017-06-20,68,70
2017-06-21,15,24
2017-06-22,15,8
2017-06-23,22,11
2017-06-24,16,18
2017-06-25,21,20
2017-06-26,20,34
2017-06-27,19,49
2017-06-28,27,51
2017-06-29,30,67
2017-06-30,30,71
2017-07-03,8,26
2017-07-04,17,34
2017-07-05,20,64
2017-07-06,56,83
2017-07-07,43,62
2017-07-08,9,12
2017-07-09,3,9
2017-07-10,40,76
2017-07-11,13,28
2017-07-12,21,58
2017-07-13,59,56
2017-07-14,61,86
2017-07-16,7,22
2017-07-17,58,64
2017-07-18,23,50
2017-07-19,27,63
2017-07-20,57,90
2017-07-21,26,64
2017-07-22,5,19
2017-07-24,16,30
2017-07-25,10,32
2017-07-26,44,82
2017-07-27,35,84
2017-07-28,203,311
2017-07-30,14,22
2017-07-31,20,35
2017-08-01,62,79
2017-08-02,136,333
2017-08-03,29,61
2017-08-04,28,79
2017-08-05,9,15
2017-08-06,12,18
2017-08-07,28,35
2017-08-08,48,95
2017-08-09,19,38
2017-08-10,28,44
2017-08-11,19,18
2017-08-12,10,28
2017-08-13,0,11
2017-08-14,19,31
2017-08-15,50,44
2017-08-16,10,31
2017-08-17,18,33
2017-08-18,30,37
2017-08-19,6,17
2017-08-20,7,16
2017-08-21,13,17
2017-08-22,39,47
2017-08-23,12,16
2017-08-24,60,53
2017-08-25,79,138
2017-08-26,6,10
2017-08-28,47,54
2017-08-29,14,21
2017-08-30,77,131
2017-08-31,24,56
2017-09-01,26,35
2017-09-04,6,5
2017-09-05,19,47
2017-09-06,10,8
2017-09-07,23,40
2017-09-08,37,37
2017-09-09,7,9
2017-09-10,10,25
2017-09-11,33,46
2017-09-12,80,120
2017-09-13,77,138
2017-09-14,51,72
2017-09-15,130,113
2017-09-16,79,70
2017-09-18,48,80
2017-09-19,10,42
2017-09-20,66,68
2017-09-21,36,43
2017-09-22,92,147
2017-09-24,14,25
2017-09-25,81,109
2017-09-26,17,37
2017-09-27,14,25
2017-09-28,43,116
2017-09-29,67,94
2017-09-30,8,23
