DATE,DJFUELUSGULF
2017-07-10,1.331
2017-07-11,1.355
2017-07-12,1.351
2017-07-13,1.369
2017-07-14,1.397
2017-07-17,1.377
2017-07-18,1.412
2017-07-19,1.460
2017-07-20,1.453
2017-07-21,1.424
2017-07-24,1.428
2017-07-25,1.477
2017-07-26,1.507
2017-07-27,1.521
2017-07-28,1.554
2017-07-31,1.573
2017-08-01,1.544
2017-08-02,1.553
2017-08-03,1.539
2017-08-04,1.546
2017-08-07,1.537
2017-08-08,1.527
2017-08-09,1.554
2017-08-10,1.528
2017-08-11,1.536
2017-08-14,1.506
2017-08-15,1.493
2017-08-16,1.473
2017-08-17,1.490
2017-08-18,1.545
2017-08-21,1.509
2017-08-22,1.528
2017-08-23,1.567
2017-08-24,1.566
2017-08-25,1.559
2017-08-28,1.599
2017-08-29,1.626
2017-08-30,1.651
2017-08-31,1.920
2017-09-01,1.997
2017-09-04,.
2017-09-05,1.918
2017-09-06,1.940
2017-09-07,1.967
2017-09-08,1.947
2017-09-11,1.769
2017-09-12,1.769
2017-09-13,1.798
2017-09-14,1.805
2017-09-15,1.728
2017-09-18,1.713
2017-09-19,1.703
2017-09-20,1.732
2017-09-21,1.742
2017-09-22,1.732
2017-09-25,1.739
2017-09-26,1.705
2017-09-27,1.701
2017-09-28,1.703
2017-09-29,1.686
2017-10-02,1.647
2017-10-03,1.632
2017-10-04,1.654
2017-10-05,1.669
2017-10-06,1.625
2017-10-09,1.613
2017-10-10,1.646
2017-10-11,1.665
2017-10-12,1.627
2017-10-13,1.647
2017-10-16,1.663
2017-10-17,1.655
2017-10-18,1.651
2017-10-19,1.62
2017-10-20,1.667
2017-10-23,1.652
2017-10-24,1.665
2017-10-25,1.659
2017-10-26,1.691
2017-10-27,1.716
2017-10-30,1.717
2017-10-31,1.713
2017-11-01,1.692
2017-11-02,1.689
2017-11-03,1.716
2017-11-06,1.773
2017-11-07,1.769
2017-11-08,1.769
2017-11-09,1.802
2017-11-10,1.78
2017-11-13,1.775
2017-11-14,1.74
2017-11-15,1.72
2017-11-16,1.73
2017-11-17,1.756
2017-11-20,1.756
2017-11-21,1.775
2017-11-22,1.772
2017-11-23,.
2017-11-24,1.803
2017-11-27,1.799
2017-11-28,1.797
2017-11-29,1.779
2017-11-30,1.752
2017-12-01,1.785
2017-12-04,1.74
2017-12-05,1.783
2017-12-06,1.734
2017-12-07,1.765
2017-12-08,1.816
2017-12-11,1.838
2017-12-12,1.824
2017-12-13,1.794
2017-12-14,1.779
2017-12-15,1.77
2017-12-18,1.79
2017-12-19,1.825
2017-12-20,1.815
2017-12-21,1.818
2017-12-22,1.828
2017-12-25,.
2017-12-26,1.905
2017-12-27,1.898
2017-12-28,1.919
2017-12-29,1.904
2018-01-01,.
2018-01-02,1.903
2018-01-03,1.943
2018-01-04,1.927
2018-01-05,1.936
2018-01-08,1.927
2018-01-09,1.946
2018-01-10,1.956
2018-01-11,1.953
2018-01-12,1.947
2018-01-15,.
2018-01-16,1.925
2018-01-17,1.926
2018-01-18,1.922
2018-01-19,1.922
2018-01-22,1.95
2018-01-23,1.996
2018-01-24,2.0
2018-01-25,2.0
2018-01-26,2.03
2018-01-29,1.997
2018-01-30,1.968
2018-01-31,1.967
2018-02-01,1.991
2018-02-02,1.942
2018-02-05,1.914
2018-02-06,1.89
2018-02-07,1.832
2018-02-08,1.819
2018-02-09,1.765
2018-02-12,1.745
2018-02-13,1.74
2018-02-14,1.792
2018-02-15,1.801
2018-02-16,1.825
2018-02-19,.
2018-02-20,1.84
2018-02-21,1.835
2018-02-22,1.861
2018-02-23,1.899
2018-02-26,1.919
2018-02-27,1.897
2018-02-28,1.852
2018-03-01,1.825
2018-03-02,1.814
2018-03-05,1.821
2018-03-06,1.834
2018-03-07,1.814
2018-03-08,1.781
2018-03-09,1.8
2018-03-12,1.78
2018-03-13,1.79
2018-03-14,1.797
2018-03-15,1.805
2018-03-16,1.821
2018-03-19,1.815
2018-03-20,1.852
2018-03-21,1.928
2018-03-22,1.905
2018-03-23,1.942
2018-03-26,1.94
2018-03-27,1.938
2018-03-28,1.955
2018-03-29,1.957
2018-03-30,.
2018-04-02,1.916
2018-04-03,1.933
2018-04-04,1.923
2018-04-05,1.919
2018-04-06,1.908
2018-04-09,1.949
2018-04-10,2.014
2018-04-11,2.045
2018-04-12,2.032
2018-04-13,2.044
2018-04-16,2.013
2018-04-17,1.998
2018-04-18,2.044
2018-04-19,2.053
2018-04-20,2.069
2018-04-23,2.064
2018-04-24,2.065
2018-04-25,2.068
2018-04-26,2.085
2018-04-27,2.084
2018-04-30,2.099
2018-05-01,2.051
2018-05-02,2.062
2018-05-03,2.068
2018-05-04,2.103
2018-05-07,2.116
2018-05-08,2.118
2018-05-09,2.169
2018-05-10,2.168
2018-05-11,2.166
2018-05-14,2.2
2018-05-15,2.183
2018-05-16,2.206
2018-05-17,2.219
2018-05-18,2.204
2018-05-21,2.207
2018-05-22,2.201
2018-05-23,2.222
2018-05-24,2.197
2018-05-25,2.135
2018-05-28,.
2018-05-29,2.11
2018-05-30,2.165
2018-05-31,2.157
2018-06-01,2.122
2018-06-04,2.102
2018-06-05,2.086
2018-06-06,2.089
2018-06-07,2.132
2018-06-08,2.115
2018-06-11,2.109
2018-06-12,2.11
2018-06-13,2.134
2018-06-14,2.111
2018-06-15,2.022
2018-06-18,2.075
2018-06-19,2.058
2018-06-20,2.034
2018-06-21,2.019
2018-06-22,2.06
2018-06-25,2.047
2018-06-26,2.073
2018-06-27,2.116
2018-06-28,2.117
2018-06-29,2.148
2018-07-02,2.1
2018-07-03,2.107
2018-07-04,.
2018-07-05,2.123
2018-07-06,2.125
2018-07-09,2.154
